FID,pointid,grid_code,reforest,recultivat,area,RASTERVALU,Longitude,Latitude,lu
388448,703202,361024,2,8,37800,0.378,1091323,2992791,0
388451,703207,360521,2,8,60300,0.603,957821,2992990,0
388452,703207,360521,2,8,60300,0.603,957821,2992990,0
388453,703208,360502,2,8,95400,0.954,980391,2992907,0
388454,703209,361002,2,8,25200,0.252,1099612,2992758,0
388456,703213,361002,2,8,36000,0.36,1102207,2992751,0
388457,703214,361028,2,8,22500,0.225,1162485,2992777,0
388460,703220,360502,2,8,62100,0.621,958763,2992871,0
388461,703221,360502,2,8,88200,0.882,985436,2992774,0
388462,703222,361024,2,8,24300,0.243,1090403,2992699,0
388466,703231,360902,2,8,27000,0.27,933054,2992708,0
388467,703232,361028,2,8,42300,0.423,1172770,2992723,0
388471,703236,360824,2,8,68400,0.684,1020311,2992700,0
388472,703237,361024,2,8,32400,0.324,1073885,2992614,0
388475,703240,360521,2,8,51300,0.513,935037,2992493,0
388476,703240,360521,2,8,51300,0.513,935037,2992493,0
388479,703243,360982,2,8,200700,2.007,1013929,2992788,0
388480,703244,360824,2,8,216900,2.169,1019131,2992771,0
388481,703245,361024,2,8,128700,1.287,1074514,2992657,0
388482,703246,361002,2,8,52200,0.522,1116516,2992557,0
388485,703250,360521,2,8,23400,0.234,943124,2992503,0
388486,703252,360502,2,8,112500,1.125,965890,2992762,0
388488,703257,360981,2,8,29700,0.297,1053494,2992478,0
388495,703265,360521,2,8,22500,0.225,954433,2992406,0
388496,703266,360502,2,8,110700,1.107,971576,2992702,0
388497,703267,360982,2,8,67500,0.675,1004854,2992553,0
388498,703268,361002,2,8,30600,0.306,1100065,2992448,0
388502,703273,361002,2,8,35100,0.351,1119309,2992476,0
388504,703277,360521,2,8,205200,2.052,935908,2992744,0
388505,703278,360521,2,8,77400,0.774,938883,2992574,0
388506,703280,360502,2,8,48600,0.486,972534,2992404,0
388507,703281,360982,2,8,47700,0.477,1004240,2992423,0
388509,703286,360902,2,8,103500,1.035,917864,2992398,0
388510,703287,360502,2,8,180000,1.8,965159,2992788,0
388511,703288,360982,2,8,229500,2.295,988881,2992502,0
388512,703289,360981,2,8,36000,0.36,1052158,2992386,0
388513,703290,361024,2,8,45000,0.45,1097240,2992408,0
388517,703296,360902,2,8,18000,0.18,930615,2992287,0
388518,703298,360502,2,8,24300,0.243,966651,2992288,0
388519,703299,360982,2,8,62100,0.621,991547,2992349,0
388520,703301,360521,2,8,20700,0.207,943204,2992268,0
388521,703302,361002,2,8,28800,0.288,1115799,2992269,0
388522,703303,361002,2,8,44100,0.441,1133264,2992317,0
388525,703308,360824,2,8,81000,0.81,1018249,2992362,0
388526,703309,360824,2,8,58500,0.585,1019294,2992261,0
388528,703311,360902,2,8,54000,0.54,883178,2992277,0
388529,703312,360502,2,8,136800,1.368,959700,2992352,0
388530,703313,360502,2,8,28800,0.288,961339,2992195,0
388533,703320,360982,2,8,77400,0.774,992547,2992207,0
388534,703321,360824,2,8,63000,0.63,1014690,2992231,0
388535,703323,360502,2,8,37800,0.378,963821,2992127,0
388537,703328,360502,2,8,31500,0.315,974252,2992109,0
388538,703329,361024,2,8,111600,1.116,1077697,2992150,0
388539,703330,361024,2,8,33300,0.333,1090477,2992068,0
388540,703331,361002,2,8,34200,0.342,1115166,2992145,0
388541,703332,361024,2,8,71100,0.711,1083936,2992123,0
388542,703333,361002,2,8,193500,1.935,1124605,2992182,0
388545,703338,360902,2,8,15300,0.153,933381,2991991,0
388546,703339,360521,2,8,19800,0.198,943552,2992003,0
388547,703341,360982,2,8,114300,1.143,1012567,2992065,0
388550,703344,360521,2,8,70200,0.702,935767,2992233,0
388551,703344,360521,2,8,70200,0.702,935767,2992233,0
388552,703345,360824,2,8,36900,0.369,1019841,2992016,0
388553,703346,360982,2,8,72900,0.729,1026266,2992053,0
388555,703349,360902,2,8,99900,0.999,932123,2992080,0
388556,703350,361024,2,8,51300,0.513,1072847,2991929,0
388557,703353,361002,2,8,31500,0.315,1131776,2991969,0
388558,703354,361028,2,8,63000,0.63,1152598,2991976,0
388560,703356,360502,2,8,24300,0.243,959991,2991886,0
388561,703357,360502,2,8,91800,0.918,964150,2992023,0
388562,703358,360502,2,8,25200,0.252,971042,2991929,0
388563,703359,360502,2,8,99900,0.999,982216,2991989,0
388564,703360,360824,2,8,140400,1.404,1020968,2992052,0
388565,703361,361024,2,8,60300,0.603,1073441,2991898,0
388566,703362,361002,2,8,88200,0.882,1099090,2991959,0
388568,703365,360902,2,8,92700,0.927,882431,2992110,0
388570,703367,360902,2,8,36900,0.369,883592,2991901,0
388572,703370,360982,2,8,198900,1.989,1004304,2991982,0
388576,703376,360824,2,8,39600,0.396,1018592,2991786,0
388577,703377,361024,2,8,25200,0.252,1076961,2991771,0
388579,703380,360502,2,8,387000,3.87,978054,2992025,0
388580,703381,360982,2,8,60300,0.603,994253,2991789,0
388581,703382,360982,2,8,35100,0.351,1005406,2991781,0
388582,703383,360982,2,8,64800,0.648,1030663,2991936,0
388583,703384,361002,2,8,36900,0.369,1099773,2991775,0
388586,703388,360902,2,8,17100,0.171,929552,2991700,0
388587,703389,360521,2,8,45000,0.45,939080,2991733,0
388588,703390,360502,2,8,100800,1.008,982728,2991884,0
388589,703392,360982,2,8,80100,0.801,997415,2991808,0
388590,703393,361024,2,8,27900,0.279,1097331,2991728,0
388593,703397,360922,2,8,63900,0.639,885719,2991753,0
388594,703397,360922,2,8,63900,0.639,885719,2991753,0
388595,703400,360982,2,8,75600,0.756,989334,2991743,0
388596,703401,360982,2,8,116100,1.161,1000986,2991798,0
388597,703402,361002,2,8,39600,0.396,1133494,2991714,0
388601,703409,360902,2,8,34200,0.342,931831,2991640,0
388602,703410,360982,2,8,51300,0.513,1013751,2991660,0
388604,703412,361002,2,8,52200,0.522,1124416,2991713,0
388611,703421,360502,2,8,77400,0.774,966046,2991610,0
388612,703424,361002,2,8,30600,0.306,1101117,2991529,0
388613,703425,361002,2,8,32400,0.324,1115030,2991541,0
388614,703426,361028,2,8,47700,0.477,1154792,2991610,0
388617,703431,360902,2,8,45900,0.459,919776,2991506,0
388618,703433,360902,2,8,117000,1.17,884475,2991607,0
388619,703434,360502,2,8,27900,0.279,973477,2991472,0
388620,703435,360502,2,8,77400,0.774,980771,2991555,0
388621,703437,361002,2,8,21600,0.216,1098912,2991444,0
388624,703440,361024,2,8,29700,0.297,1075408,2991447,0
388630,703448,361024,2,8,90000,0.9,1098201,2991453,0
388631,703449,361027,2,8,40500,0.405,1139256,2991420,0
388635,703453,360502,2,8,31500,0.315,960293,2991339,0
388636,703455,360982,2,8,154800,1.548,988859,2991522,0
388637,703456,360982,2,8,150300,1.503,998691,2991488,0
388638,703457,361024,2,8,27000,0.27,1073785,2991328,0
388641,703462,360502,2,8,27000,0.27,962623,2991359,0
388642,703463,360502,2,8,145800,1.458,984843,2991439,0
