Unnamed: 0,PAC,FOOD,NEP,BIO,FOODVALUEC,FOODVALUED,TREEVALUEC,TREEVALUED
36,130107,266.6404128,226.96395,33,0.09813,802.5,52.16821386,849.45
38,130109,9070.567932,226.96395,29,0.09813,802.5,52.16821386,849.45
39,130110,4668.514236,137.27749,31,0.09813,802.5,52.16821386,849.45
40,130111,8628.10113,137.27749,29,0.09813,802.5,52.16821386,849.45
41,130121,1509.690923,189.23654,31,0.09813,802.5,52.16821386,849.45
42,130123,8642.404106,189.23654,30,0.09813,802.5,52.16821386,849.45
43,130125,5917.950883,201.13357,29,0.09813,802.5,52.16821386,849.45
44,130126,3668.354578,257.54573,30,0.09813,802.5,52.16821386,849.45
45,130127,9362.139918,257.54573,30,0.09813,802.5,52.16821386,849.45
46,130128,8922.420435,257.54573,29,0.09813,802.5,52.16821386,849.45
47,130129,2212.754214,156.83283,34,0.09813,802.5,52.16821386,849.45
48,130130,9658.79065,194.76889,30,0.09813,802.5,52.16821386,849.45
49,130131,2355.287276,263.02602,36,0.09813,802.5,52.16821386,849.45
50,130132,8362.462538,133.87111,30,0.09813,802.5,52.16821386,849.45
51,130133,13392.72137,133.87111,30,0.09813,802.5,52.16821386,849.45
52,130181,8003.171985,195.80889,29,0.09813,802.5,52.16821386,849.45
53,130183,9535.047866,195.80889,29,0.09813,802.5,52.16821386,849.45
54,130184,8684.297756,195.80889,29,0.09813,802.5,52.16821386,849.45
55,130202,0,179.99979,7,0.09813,802.5,52.16821386,849.45
57,130204,0,173.04445,30,0.09813,802.5,52.16821386,849.45
58,130205,0,168.51467,30,0.09813,802.5,52.16821386,849.45
59,130207,2565.871455,200.19175,29,0.09813,802.5,52.16821386,849.45
60,130208,3926.633673,202.1497,30,0.09813,802.5,52.16821386,849.45
61,130209,4065.428244,259.33555,29,0.09813,802.5,52.16821386,849.45
62,130224,4434.300932,243.44988,30,0.09813,802.5,52.16821386,849.45
63,130225,2860.26019,274.87136,29,0.09813,802.5,52.16821386,849.45
64,130227,3000.240403,237.13732,30,0.09813,802.5,52.16821386,849.45
65,130229,5724.612537,214.23037,29,0.09813,802.5,52.16821386,849.45
